index,question,gt,ans_ctrl,ans_det,score_ctrl,score_det
202,Which teeth show signs of fillings?,Teeth #36 and #45 show signs of fillings.,"Fillings (radiopaque restorative materials) are visible on teeth #14, #44, and #36.","Teeth showing signs of restorations or fillings include #16, #26, #36, and #45.",0.3,0.7
222,Which teeth are impacted as seen on the panoramic radiograph? Specify their positions.,"[
{""box_2d"": [1763, 351, 1876, 479], ""tooth_id"": ""28"", ""is_impacted"": ""true""}
]","Tooth #28 (upper left third molar) is impacted, presenting as a radiopaque crown-like structure high in the left maxillary tuberosity/posterior sinus region.","Tooth #28 (upper-left third molar) is impacted, presenting as a horizontally/mesioangularly oriented crown high in the left maxillary tuberosity region.",0.9,0.9
231,Which teeth show signs of caries?,"#35, #28, #37, #47.","Signs of active caries or severe coronal destruction are visible on teeth #47 (severe decay to the root level), #46 (distal/occlusal caries), #14 (mesial/distal caries), #24, #25, and #37.","Active dental caries or extensive crown destruction suggestive of deep decay are visible on multiple teeth, most notably on the lower-right second molar (#47), the lower-left first molar (#36), and the lower-left second molar (#37).",0.3,0.6
241,Which tooth needs urgent evaluation?,#36,"Tooth #36 (lower-left first molar) requires urgent clinical and radiographic evaluation due to the presence of a large radiopaque restoration, potential root canal treatment, and a significant periapical radiolucency indicating active infection.",Tooth #36 needs urgent clinical and radiographic evaluation due to the presence of a large radiopaque restoration (likely a metallic filling or crown) with an associated root canal treatment that exhibits a prominent periapical radiolucency (periapical abscess/periodontitis) at its root apex.,0.9,1.0
242,Which teeth are suspicious for caries and which has a periapical abscess?,Caries: #15; Periapical abscess: #36,"Teeth #14, #15, #16, #26, #27, #37, #46, and #47 are highly suspicious for dental caries, presenting with localized radiolucencies extending into the dentin. Tooth #36 presents with a periapical abscess, characterized by a well-defined periapical radiolucency surrounding its root apices.","Tooth #14 is highly suspicious for dental caries, presenting with a distinct radiolucency on its distal crown surface extending into the dentin. Tooth #36 exhibits a periapical abscess, characterized by a well-defined radiolucent area surrounding the root apex of this endodontically treated tooth.",0.9,0.5
283,Which teeth show signs of crowns?,"Teeth #11,12,13,22,23,31,32,33,36,41,42,43 show signs of crowns.","Signs of crowns (radiopaque prosthetic restorations) are visible on multiple anterior teeth, specifically the maxillary incisors #12, #11, #21, and #22, as well as the mandibular incisors and premolars including #42, #41, #31, #32, #33, and #34. Additionally, tooth #36 presents with a highly radiopaque crown restoration associated with endodontic treatment.","Radiopaque prosthetic crowns are visible on teeth #11, #21, #22, and #36.",0.7,0.3
291,Which teeth show signs of periapical granuloma?,Teeth #46 and #48 show signs of periapical granuloma.,"Tooth #38 shows clear signs of a large periapical radiolucency consistent with a periapical granuloma or cyst. Additionally, the endodontically treated anterior teeth #11 and #21 show widened periodontal ligament spaces and subtle periapical radiolucencies, suggesting chronic apical periodontitis/periapical granulomas.",Teeth #11 and #21 show well-defined periapical radiolucencies highly suggestive of periapical granulomas or radicular cysts secondary to endodontic involvement.,0.0,0.0
294,Which teeth have signs of root canal treatment?,"Teeth #36, #42, and #35 show signs of root canal treatment.","Teeth #31 and #35 show clear signs of endodontic (root canal) treatment, evidenced by radiopaque obturation material within their root canals.","Teeth #41, #34, and #35 show clear signs of endodontic (root canal) treatment, evidenced by radiopaque obturation material within their root canals.",0.3,0.3
302,Which teeth are suspected for caries and require clinical re-evaluation?,"#36, #37.","Teeth suspected for caries requiring clinical re-evaluation include the remaining lower left molars (#36, #37) at their proximal surfaces, the tipped lower right premolar/canine region, and the cervical areas of the remaining anterior teeth (#12, #11, #21, #22) which are highly vulnerable due to severe bone loss and root exposure.","Tooth #36 is suspected for dental caries on its mesial surface, and tooth #37 is suspected for caries on its occlusal/mesial surface; both require clinical re-evaluation and tactile probing.",0.6,0.9
314,Which teeth have signs of root canal treatment with restorations?,Teeth #23 and #33 have signs of root canal treatment with restorations.,Teeth #11 and #22 show clear signs of root canal treatment (endodontic obturation) and are serving as abutments for fixed prosthetic restorations (bridges).,"Tooth #11 (upper-right central incisor) and tooth #21 (upper-left central incisor) show clear signs of endodontic (root canal) treatment, characterized by radiopaque obturation material within their root canals, and are restored with coronal restorations/crowns.",0.0,0.0
325,Which teeth show signs of dental implants?,"Teeth #35, #36, and #37 show signs of dental implants.","Dental implants are present in the lower left quadrant, replacing teeth #35, #36, and #37, supporting a multi-unit implant-retained fixed bridge.","Dental implants with overlying crowns are present in the lower-left quadrant, replacing teeth #35, #36, and #37.",1.0,1.0
337,Which tooth is suspected to have a periapical abscess?,Tooth #36 is suspected to have a periapical abscess.,"Tooth #36 is suspected to have a periapical abscess, as evidenced by a well-defined radiolucency surrounding its mesial and distal root apices.","Tooth #37 (lower-left second molar) is suspected to have a periapical abscess, as evidenced by a well-defined, large radiolucent lesion surrounding its mesial and distal root apices.",1.0,0.7
344,Which teeth are suspicious for caries?,#46 is suspicious for caries.,"Teeth suspicious for caries include #17, #12, #24, #25, #27, #37, #35, #45, and #47, which exhibit localized radiolucencies extending into the dentin on their proximal or occlusal surfaces.","Teeth suspicious for caries include #15 (distal surface), #14 (mesial and distal surfaces), #24 (mesial surface), and #25 (mesial surface), where localized radiolucencies extending into the dentin are visible.",0.0,0.0
349,Which teeth show signs of caries and require clinical re-evaluation?,None tooth show signs of caries and require clinical re-evaluation.,"There is a radiolucency suggestive of caries on the distal aspect of tooth #47, which requires clinical re-evaluation. Additionally, the anterior teeth show signs of attrition and wear, and the margins of existing restorations should be clinically checked for recurrent decay.","There is a radiolucency suggestive of dental caries on the distal surface of tooth #47, which requires clinical re-evaluation. Additionally, the margins of the existing restorations on #46 and the bridge on #35–#37 should be clinically assessed for recurrent decay.",0.0,0.0
384,Which tooth has a periapical abscess and what is its clinical implication?,"Tooth #36 has a periapical abscess, requiring urgent endodontic evaluation and treatment.","Tooth #36 (lower-left first molar) presents with a well-defined periapical radiolucency surrounding its roots, consistent with a periapical abscess. The clinical implication is pulpal necrosis and chronic apical periodontitis, which requires endodontic treatment (root canal therapy) or extraction to eliminate the source of infection and prevent further bone destruction or systemic spread.","Tooth #36 (lower-left first molar) exhibits a well-defined periapical radiolucency consistent with a periapical abscess. The clinical implication is pulpal necrosis and spreading inflammatory bone destruction, which requires prompt endodontic therapy (root canal treatment) or extraction to eliminate the source of infection and prevent systemic spread.",0.9,0.9
385,Which tooth is suspicious for a periapical abscess and what does it necessitate?,"Tooth #47 is suspicious for a periapical abscess due to root fracture, necessitating further diagnostic workup and possible surgical intervention.",Tooth #46 (lower-right first molar) is highly suspicious for a periapical abscess due to deep distal caries extending close to the pulp chamber and early widening of the periodontal ligament space at the root apices. This necessitates clinical vitality testing (thermal and electric pulp tests) and targeted intraoral periapical radiographs to confirm pulpal status and determine the appropriate treatment plan.,Tooth #46 (lower-right first molar) is highly suspicious for a periapical abscess due to deep distal caries/radiolucency approaching the pulp chamber and early widening of the periodontal ligament space at the root apices. This necessitates clinical vitality testing (thermal and electric pulp tests) and targeted intraoral periapical radiographs to confirm pulpal status and determine the appropriate treatment plan.,0.0,0.2
408,Which teeth are identified as wisdom teeth and what are their statuses?,#28 is erupted and #48 is impacted.,"The wisdom teeth present are #18, #28, and #48. Tooth #18 is erupted and functional. Tooth #28 is erupted but appears slightly supra-erupted or distally angled. Tooth #48 is horizontally impacted, deeply wedged against the distal aspect of #47. Tooth #38 is missing.","The only wisdom tooth present is the lower-right third molar (#48), which is horizontally impacted and partially erupted or submerged beneath the crown of the adjacent second molar (#47). The other third molars (#18, #28, and #38) are congenitally missing or have been previously extracted.",0.6,0.6
414,Which teeth have root canal treatments?,"#31, #11, #14, #16, #26, #36, #45.","Root canal treatments are visible in teeth #11 (upper right central incisor), #44 (lower right first premolar), and #31 (lower left central incisor).",Root canal treatments are visible on teeth #11 and #45.,0.3,0.3
417,Which teeth have implants?,"#37, #47.",Dental implants are present in the areas of missing teeth #46 (lower right first molar) and #36 (lower left first molar).,Dental implants are present in the areas of the missing lower-right first molar (#46) and lower-left first molar (#36).,0.0,0.0
443,Which teeth show signs of caries and any additional findings?,"Teeth #47, #37, and #27 show signs of caries. Additionally, #37 has a suspected periapical granuloma.","There are no obvious, deep radiolucencies indicative of active, advanced dentinal caries on the crowns of the visualized teeth. However, there is mild generalized horizontal alveolar bone loss, particularly in the mandibular anterior region, and mild interproximal calculus deposits are visible, which are associated with chronic periodontitis.","There are no obvious radiolucencies indicative of active dental caries on the proximal or occlusal surfaces of the teeth. Additionally, there are no visible dental restorations, fillings, crowns, root canal treatments, or dental implants, indicating a dentition free of previous restorative interventions.",0.0,0.0
449,Which teeth are affected by caries and a periapical granuloma?,"Tooth #47 has caries, and tooth #48 has a periapical granuloma.","Tooth #47 (lower right second molar) is severely affected by deep dental caries on its distal and occlusal surfaces, which has progressed to involve the pulp chamber. This pulpal involvement has led to a well-defined periapical radiolucency (periapical granuloma/cyst) surrounding the roots of tooth #47.","Tooth #46 (lower-right first molar) is severely affected by deep dental caries extending into the pulp chamber, associated with a well-defined periapical radiolucency at its root apices consistent with a periapical granuloma or cyst. Tooth #36 (lower-left first molar) also shows deep occlusal/distal caries with early periapical inflammatory changes.",0.6,0.0
457,Which teeth show signs of caries?,"#26, and #36 show signs of caries.","Dental caries are visible as radiolucencies on the distal surface of tooth #37 (deep, involving the pulp), the occlusal/mesial surface of tooth #38, and the distal surface of tooth #47.",Radiographic signs of dental caries are visible on the distal surface of tooth #37 (deep dentinal caries) and the distal surface of tooth #47.,0.0,0.0
466,Which teeth have crown restorations?,"#36, #37, #45, #46, #47 have crown restorations.","Teeth #36, #37, #46, and #47 have crown restorations (specifically, there are multi-unit fixed dental prostheses/bridges present in the lower posterior quadrants: a bridge spanning #45 to #47 with #46 as a pontic/restoration, and a bridge spanning #35 to #37 with #36 as a pontic/restoration).","Based on the radiograph, there are fixed prosthetic crown restorations (or multi-unit bridges) present in the lower quadrants. Specifically, radiopaque crown restorations are visible on teeth #45, #46, #35, and #36.",0.9,0.7
467,Which teeth have fillings?,#38 has fillings.,"There are no distinct, isolated simple fillings visible on the remaining teeth; the primary restorations present are the extensive crown/bridge prostheses in the lower left and lower right posterior quadrants (#35-#37 and #45-#47).","There are no distinct, isolated simple fillings visible on the remaining dentition; the primary restorations are the extensive radiopaque crown/bridge structures on #45, #46, #35, and #36.",0.0,0.0
522,Which teeth need monitoring for suspicious caries?,#37 and #47,"There are no obvious deep dentinal caries visible, but the distal surface of tooth #47 and the mesial surface of tooth #37 adjacent to the impacted third molars, as well as the interproximal surfaces of the premolars (such as #14, #15, #24, and #25), should be monitored clinically and with bitewing radiographs for suspicious early proximal caries.","There are no obvious deep carious lesions visible; however, the distal surface of tooth #16 and the mesial surface of tooth #46 show subtle radiolucencies within the enamel/outer dentin that should be monitored clinically and with bitewing radiographs for suspicious proximal caries.",0.9,0.0
531,Which teeth are suspicious for fillings?,#38 is suspicious for fillings.,"Based on the radiograph, teeth suspicious for restorations/fillings include #46 (which has a large radiopaque restoration/crown), #37 (which has an occlusal/distal radiopaque restoration), and #35 (which shows a coronal radiopaque restoration).","Teeth #18, #38, and #46 are suspicious for fillings (restorations). Specifically, #46 has a large radiopaque restoration, #38 has an occlusal radiopaque restoration, and #18 shows signs of a small restoration or caries.",0.0,0.6
534,Which teeth have crown restorations?,"#46, #21, and #11 have crown restorations.",Teeth #11 and #21 demonstrate radiopaque crown restorations (porcelain-fused-to-metal or full metal crowns). Tooth #46 also has a full crown restoration.,Teeth #11 and #21 have crown restorations (full-coverage radiopaque crowns).,0.9,0.7
544,Which teeth are suspicious for caries?,"The teeth suspicious for caries are #18, #47, and #26.","Teeth suspicious for caries include the distal surface of tooth #17, the mesial and distal surfaces of tooth #16, the distal surface of tooth #26, and the mesial surface of tooth #27, presenting as localized radiolucent areas extending into the dentin.","Teeth suspicious for dental caries include the distal surface of tooth #17, the mesial and distal surfaces of tooth #16, the distal surface of tooth #26, and the mesial surface of tooth #27, presenting as localized radiolucent areas extending into the dentin.",0.2,0.2
550,Which teeth have crowns?,"Teeth #11,12, 13,14, 15, 21, 22, 23, 24, 25, 31,32, 33, 34, 35, 36,41,42, 43, 44, 45, 46, 47, 48 have crowns.","Crowns (radiopaque prosthetic restorations) are present on teeth #15, #14, #13, #12, #11, #21, #22, #23, #24, #25, #33, #34, #35, #36, #37, #41, #42, #43, #44, #45, #46, and #47.","Full-coverage crowns (radiopaque prosthetic restorations) are present on teeth #15, #14, #13, #12, #11, #21, #22, #23, #24, #25, #47, #46, #45, #44, #43, #42, #41, #31, #32, #33, #34, #35, and #36.",0.9,1.0
