index,file_name,category,question,answer,predicted,raw_response,correct,n_examples
106,016792.jpg,"Teeth,Patho",Which tooth is suspicious for caries and deep caries?,A,A,A,True,0
107,016792.jpg,"Teeth,Patho",Which tooth shows signs of a periapical granuloma?,B,C,C,False,0
108,016792.jpg,"Teeth,HisT",Which tooth has signs of both a filling and root canal treatment?,A,C,C,False,0
109,016792.jpg,"HisT,Jaw",Which of the following is a visible structure in the imaging?,D,D,D,True,0
110,016792.jpg,Jaw,"Can you identify the structure within the bounding box [1377, 36, 1784, 460]?",C,A,"The correct answer is:

**B**",False,0
111,016807.jpg,Jaw,Is there apparent bone loss in the jaw?,D,D,D,True,0
112,016807.jpg,"Teeth,HisT",Which tooth site has a dental implant present?,B,C,C,False,0
115,016807.jpg,"Teeth,HisT",Which tooth has both a crown and root canal treatment?,A,D,D,False,0
117,016808.jpg,"HisT,Jaw",Which structures are visible in the imaging?,C,C,C,True,0
118,016808.jpg,HisT,Which of the following historical interventions is NOT detected?,C,A,"The correct answer is **C** (None of the above, as none of these historical interventions—implants, fillings, or crowns—are detected on this radiograph).",False,0
119,016808.jpg,Jaw,What is observed regarding the bone architecture?,B,D,D,False,0
120,016808.jpg,"Teeth,SumRec",What is the priority concern for tooth 38?,A,B,B,False,0
121,016821.jpg,"Teeth,HisT",Which tooth has an implant?,A,A,A,True,0
122,016821.jpg,Teeth,Which tooth is erupted as a wisdom tooth?,A,D,D,False,0
123,016821.jpg,"Teeth,HisT",How many teeth have signs of crowns?,C,C,C,True,0
124,016821.jpg,"Teeth,Patho",Which tooth has signs of a periapical granuloma?,A,D,D,False,0
126,016823.jpg,"Teeth,Patho",Which tooth is suspected to have an impacted wisdom tooth?,A,A,A,True,0
127,016823.jpg,"Teeth,HisT",How many teeth are observed with crowns?,C,B,B,False,0
128,016823.jpg,"Teeth,SumRec",Which tooth requires endodontic evaluation?,D,A,A,False,0
129,016823.jpg,"Patho,SumRec",What is recommended for interproximal caries detection?,B,B,B,True,0
130,016823.jpg,"HisT,Jaw",Which structures are visible in the radiograph?,B,B,B,True,0
131,016825.jpg,"Teeth,Jaw",In which jaw are missing teeth regions detected?,C,C,C,True,0
132,016825.jpg,Teeth,Which wisdom tooth is erupted according to the report?,C,C,C,True,0
133,016825.jpg,"Teeth,Patho",Which tooth exhibits a periapical granuloma?,A,D,D,False,0
134,016825.jpg,Jaw,In which jaw is bone loss observed?,D,C,C,False,0
135,016825.jpg,"Teeth,Patho",Which tooth is suspected to have deep caries?,C,D,D,False,0
136,016826.jpg,"Teeth,Patho",Which tooth shows signs of a periapical abscess?,B,B,B,True,0
137,016826.jpg,"Teeth,HisT",Which tooth has a crown and root canal treatment?,D,D,D,True,0
138,016826.jpg,Teeth,Which tooth is impacted?,A,C,C,False,0
139,016826.jpg,Jaw,What is observed in the jawbone?,C,C,C,True,0
140,016826.jpg,Teeth,"Can you identify the object within the bounding box [1749, 638, 1885, 827]?",C,A,"The correct answer is:

**C**",False,0
141,016829.jpg,"Teeth,HisT",Which tooth has a filling and root canal treatment?,B,B,B,True,0
142,016829.jpg,"Teeth,Patho",Which tooth has a periapical lesion (likely abscess)?,A,B,B,False,0
143,016829.jpg,"HisT,Jaw",Is there any apparent bone loss visible in the radiograph?,C,C,C,True,0
144,016829.jpg,"Teeth,HisT",Which tooth has both a crown and root canal treatment?,C,B,B,False,0
145,016829.jpg,"Teeth,Patho",Which tooth exhibits a periapical lesion?,C,D,D,False,0
146,016836.jpg,Teeth,Which of the following is TRUE regarding the wisdom teeth?,D,D,D,True,0
147,016836.jpg,"HisT,Jaw",Which structure is visible bilaterally in the maxilla?,A,D,D,False,0
148,016836.jpg,Teeth,What procedure has been done on tooth 46?,C,C,C,True,0
149,016836.jpg,Jaw,What is observed in the upper jaw bone architecture?,B,C,C,False,0
150,016836.jpg,Teeth,How many teeth are visualized in the radiograph?,C,C,C,True,0
151,016839.jpg,"Teeth,HisT",Which of the following tooth site presents an implant?,B,D,D,False,0
152,016839.jpg,Teeth,How many teeth are visualized in the panoramic radiograph?,A,B,B,False,0
153,016839.jpg,"Teeth,HisT",Which tooth has a crown restoration?,A,B,B,False,0
154,016839.jpg,"Teeth,Patho",Which of the following teeth is suspected to have caries?,D,C,C,False,0
155,016839.jpg,"HisT,Jaw",Which of the following structures are visible in the imaging?,D,D,D,True,0
156,016855.jpg,Jaw,Where is the evidence of bone loss observed?,A,A,A,True,0
157,016855.jpg,"Teeth,HisT",What type of intervention is evident at tooth 26?,B,B,B,True,0
158,016855.jpg,Teeth,Which tooth is impacted?,A,A,A,True,0
159,016855.jpg,"Teeth,Patho",What is the pathological finding at tooth 26?,A,A,A,True,0
160,016855.jpg,Teeth,How many wisdom teeth are erupted according to the report?,B,D,D,False,0
161,016874.jpg,Teeth,How many wisdom teeth are erupted according to the report?,D,C,C,False,0
163,016874.jpg,"Teeth,HisT",Which tooth has undergone root canal treatment?,A,B,B,False,0
164,016874.jpg,Jaw,What is observed in the upper jawbone?,D,B,B,False,0
