survey_order,item_id,task_type,bucket,index,category,question,A,B,C,D,answer_key,reference_answer
46,c367,closed,C,367,Jaw,What is the condition of the maxillary sinuses?,Cloudy unilaterally,Clear bilaterally,Obscured,Enlarged,B,
47,c29,closed,C,29,"HisT,Jaw",Which of the following is NOT a visible structure in the imaging?,Mandibular canals,Maxillary sinuses,Nasal cavity,Ethmoid air cells,D,
48,c398,closed,T1,398,Teeth,How many wisdom teeth are erupted?,2,3,4,5,C,
49,c138,closed,T3,138,Teeth,Which tooth is impacted?,#18 and #48,#28,#38,#48,A,
50,c314,closed,T3,314,"Teeth,Jaw",What is the status of bone loss in the radiograph?,Severe bone loss,Moderate bone loss,No apparent bone loss,Mild bone loss,C,
51,c294,closed,T2,294,"Teeth,Patho",Which tooth shows signs of a periapical cyst?,#11,#12,#13,#14,B,
52,c329,closed,T3,329,Jaw,"Can you identify the structure within the bounding box [1596, 539, 2126, 1039]?",Nerve pathway,Bone structure,Maxillary sinus,Mandibular canal,D,
53,c225,closed,T2,225,"HisT,Jaw",Is there any apparent bone loss visible in the image?,Yes,No,Unclear,Not mentioned,B,
54,c25,closed,T1,25,Jaw,Does the imaging indicate any bone loss?,Yes,No,Maybe,Unclear,B,
55,c237,closed,C,237,"Teeth,HisT",Which teeth have root canal treatment with restoration?,#24 and #35,#36 and #46,#14 and #38,#18 and #48,B,
56,c278,closed,T3,278,Teeth,How many wisdom teeth are present in the radiograph?,1,2,3,4,B,
57,c100,closed,T2,100,Patho,How many teeth show periapical lesions in this panoramic X-ray?,0,9,1,2,C,
58,c178,closed,T3,178,Teeth,Which of the following wisdom teeth is erupted?,#18,#38,#48,#28,C,
59,c171,closed,T2,171,"Teeth,HisT",Which of the following teeth does NOT show signs of fillings?,"#14, #25, #37",#25,#37,#45,A,
60,c147,closed,T1,147,"HisT,Jaw",Which structure is visible bilaterally in the maxilla?,Mandibular canals and maxillary sinuses,Maxillary sinuses,Nasal cavities,Ethmoid air cells,A,
61,o399,open,prose,399,"HisT,Jaw",What visible structures are noted in the jaw?,,,,,,Bilateral mandibular canals and clear maxillary sinuses with clear boundaries are visible.
62,o351,open,prose,351,"Teeth,HisT",What historical interventions are noted in tooth #46?,,,,,,Tooth #46 shows imaging features of both a crown restoration and root canal treatment.
63,o325,open,prose,325,"Teeth,HisT",Which teeth show signs of dental implants?,,,,,,"Teeth #35, #36, and #37 show signs of dental implants."
64,o80,open,prose,80,"Teeth,Patho",What pathological findings are noted in teeth #34 and #24?,,,,,,24 and 34 show signs of a periapical lesion.
65,o221,open,prose,221,"HisT,Jaw",What structures are visible in the jaw?,,,,,,Bilateral mandibular canals and bilateral maxillary sinuses.
66,o61,open,prose,61,Teeth,"What is the general condition of the teeth, and how many are visualized?",,,,,,32 teeth are visualized with clear anatomical definition.
67,o350,open,prose,350,"HisT,Jaw",What structures are visible in the jaw besides the bone architecture?,,,,,,The mandibular canal is visible in the image.
68,o26,open,prose,26,HisT,What historical interventions are noted in the report?,,,,,,"Signs of fillings in #16,26,38,46; crown restoration in #36; root canal treatment in #26; and a dental implant in #36."
69,o248,open,prose,248,Patho,What pathological findings were identified in the report?,,,,,,Tooth #36 shows signs of a periapical granuloma.
70,o355,open,prose,355,"Teeth,Patho",What is the finding related to tooth #38?,,,,,,Sign of deep caries.
71,o381,open,prose,381,Teeth,How many teeth are visualized with clear anatomical definition?,,,,,,31 teeth are visualized with clear anatomical definition.
72,o168,open,prose,168,Patho,What pathological findings are present in the radiograph?,,,,,,Tooth 42 shows evidence of periapical lesion.
73,o498,open,prose,498,"Teeth,Patho",What pathological findings are associated with tooth #37?,,,,,,Tooth #37 shows evidence of caries and signs of a periapical abscess.
74,o225,open,prose,225,"Teeth,Patho",What pathological findings are present in tooth #47?,,,,,,Tooth #47 shows evidence of a periapical abscess.
75,o73,open,prose,73,Teeth,What is the general condition of the teeth?,,,,,,"21 teeth are visualized with clear anatomical definition, and there is a suspected missing tooth on the upper side."
