image,index,task_type,question,A,B,C,D,keyed_answer,keyed_text,reference,risk_rank,survey,item_id
016713,74,closed,Which of the following wisdom teeth is suspicious for impaction?,#18,#28,#38,#48,A,#18,,7,1,q0066
016713,75,closed,Which tooth has a crown restoration?,#11,#21,#31,Both A and B,D,Both A and B,,7,1,q0067
016713,76,closed,How many teeth are visualized in the radiograph?,28,31,32,34,C,32,,7,1,q0068
016713,89,open,What is the general condition of the teeth and the status of the wisdom teeth?,,,,,,,"31 teeth are visualized. Wisdom teeth #18, #28, #48 are erupted; #38 is suspicious for impaction.",7,1,q0069
016713,90,open,Which teeth have fillings and require clinical review?,,,,,,,#17 has a filling.,7,1,q0070
016713,91,open,What jaw-specific structures are visible in the radiograph?,,,,,,,Mandibular canal and bilateral maxillary sinuses are visible.,7,1,q0071
016713,92,open,Which teeth have crown restorations?,,,,,,,#11 and #21 have crown restorations.,7,1,q0072
016713,93,open,Identify areas showing the maxillary sinus in the panoramic radiograph.,,,,,,,Findings: maxillary sinus.,7,1,q0073
016821,121,closed,Which tooth has an implant?,#44,#45,#46,#48,A,#44,,8,1,q0074
016821,123,closed,How many teeth have signs of crowns?,3,4,5,6,C,5,,8,1,q0075
016821,124,closed,Which tooth has signs of a periapical granuloma?,#12,#11,#21,#22,A,#12,,8,1,q0076
016821,125,closed,Which jaw shows signs of bone loss?,Upper jaw,Lower jaw,Both jaws,None,B,Lower jaw,,8,1,q0077
016821,144,open,How many wisdom teeth are erupted?,,,,,,,"Two wisdom teeth are erupted: #18, and #28.",8,1,q0078
016821,145,open,Where is the missing tooth located?,,,,,,,The missing tooth is located in the lower jaw.,8,1,q0079
016821,146,open,What historical interventions are noted at #44 and #45?,,,,,,,Signs of crowns and root canal treatments are noted at #44 and #45.,8,1,q0080
016821,147,open,What is observed in the bilateral mandibular canals?,,,,,,,Imaging features signs of bilateral mandibular canals.,8,1,q0081
017137,251,closed,Which wisdom teeth are erupted according to the report?,"#18, #28, #38","#18, #28, #48","#18, #38, #48","#28, #38, #48",A,"#18, #28, #38",,9,1,q0082
017137,252,closed,Which teeth have signs of root canal treatment?,"#36, #42, #35","#34, #35, #36","#35, #36, #37","#32, #34, #36",D,"#32, #34, #36",,9,1,q0083
017137,253,closed,What interventions are noted on tooth 36?,Crown only,Filling only,Filling and Root Canal Treatment,Crown and Filling,A,Crown only,,9,1,q0084
017137,254,closed,Which tooth has a suspected periapical granuloma?,#35,#35 and #36,#37,#38,B,#35 and #36,,9,1,q0085
017137,294,open,Which teeth have signs of root canal treatment?,,,,,,,"Teeth #36, #42, and #35 show signs of root canal treatment.",9,1,q0086
017137,295,open,What interventions are noted on tooth #46?,,,,,,,Tooth #46 shows signs of a crown and root canal treatment.,9,1,q0087
017137,296,open,What is observed regarding the bone architecture in the jaw?,,,,,,,No apparent bone loss is observed in the jaw.,9,1,q0088
017137,297,open,What preventive measure is suggested for the wisdom teeth?,,,,,,,Monitoring of the suspected wisdom teeth impaction with radiographic follow-up is recommended.,9,1,q0089
017137,298,open,What findings can be observed in the panoramic radiograph regarding tooth #26?,,,,,,,Findings: crown.,9,1,q0090
017656,345,closed,Which tooth is suspicious for a periapical lesion likely abscess?,#36,#46,#26,#16,A,#36,,10,1,q0091
017656,346,closed,Which tooth shows signs of both a crown restoration and an implant placement?,#36,#16,#37,#17,C,#37,,10,1,q0092
017656,347,closed,Which tooth is suspicious for caries?,#38,#48,#28,#18,B,#48,,10,1,q0093
017656,348,closed,Which tooth is impacted?,#28,#38,#48,#18,D,#18,,10,1,q0094
017656,408,open,Which teeth are identified as wisdom teeth and what are their statuses?,,,,,,,#28 is erupted and #48 is impacted.,10,1,q0095
017656,410,open,What is noted regarding the bone architecture in the radiograph?,,,,,,,No apparent bone loss is observed.,10,1,q0096
017656,411,open,What pathological findings are associated with #46 and #48?,,,,,,,#46 is suspicious for a periapical cyst and #48 is suspicious for caries.,10,1,q0097
017656,412,open,Identify areas showing the historical treatments in the panoramic radiograph.,,,,,,,"Tooth #46: crown. Tooth #36: filling. Tooth #16: crown. Tooth #17: filling. Tooth #37: crown, implant.",10,1,q0098
017773,360,closed,Is there any apparent bone loss in the jaw?,Yes,No,Slight,Moderate,D,Moderate,,11,1,q0099
017773,361,closed,Which of the following wisdom teeth is erupted?,#18,#28,#38,#48,C,#38,,11,1,q0100
017773,362,closed,Which tooth has signs of root canal treatment?,#34,#36,#37,#38,D,#38,,11,1,q0101
017773,363,closed,Which tooth shows evidence of a periapical cyst?,#34,#36,#37,#38,B,#36,,11,1,q0102
017773,364,closed,Which of the following is a priority concern?,Caries at 34,Periapical cyst at 37,Deep caries at 47,All of the above,B,Periapical cyst at 37,,11,1,q0103
017773,426,open,What is the clinical recommendation for the periapical cyst at #37?,,,,,,,The periapical cyst at #37 requires endodontic evaluation.,11,1,q0104
017773,427,open,Are there any signs of bone loss in the jaw?,,,,,,,No apparent bone loss is observed in the image.,11,1,q0105
017773,428,open,What is the status of the wisdom teeth?,,,,,,,"#18, #28, and #48 are impacted, while #38 is erupted.",11,1,q0106
017773,429,open,Please accurately identify the historical treatments in the X-ray image.,,,,,,,"Tooth #25: filling. Tooth #36: filling. Tooth #26: filling. Tooth #47: filling. Tooth #17: filling. Tooth #37: root canal treatment. Tooth #46: crown, root canal treatment. Tooth #15: filling. Tooth #27: filling. Tooth #16: filling.",11,1,q0107
018263,427,closed,Which of the following structures are visible in the left maxillary sinus?,Nasal cavity,Mandibular canal,Normal appearance,Signs of infection,C,Normal appearance,,12,1,q0108
018263,428,closed,Which tooth shows signs suggestive of a periapical cyst?,#36,#37,#46,#47,D,#47,,12,1,q0109
018263,429,closed,What is the status of bone loss in the jaw?,Severe bone loss,Moderate bone loss,No apparent bone loss,Mild bone loss,A,Severe bone loss,,12,1,q0110
018263,430,closed,Which of the following is NOT a recommended clinical action for tooth 46?,Endodontic evaluation,Surgical consultation,Crown restoration,Monitoring,C,Crown restoration,,12,1,q0111
018263,431,closed,Which of the following teeth is erupted according to the report?,#38,#48,#28,#32,B,#48,,12,1,q0112
018263,503,open,What structures are visible in the left maxillary sinus?,,,,,,,Left maxillary sinus visible with normal appearance.,12,1,q0113
018263,504,open,What is the status of the wisdom teeth #38 and #48?,,,,,,,Impacted.,12,1,q0114
018263,505,open,What is the status of bone architecture in the jaw?,,,,,,,No apparent bone loss.,12,1,q0115
018263,506,open,What radiographic features are visible in tooth #46 on the panoramic X-ray?,,,,,,,"Findings: periapical lesions (cyst), crown.",12,1,q0116
018277,437,closed,What is a priority concern based on the findings?,Bone loss around 11,Periapical granuloma at 47,Impacted wisdom teeth,Both B and C,A,Bone loss around 11,,13,1,q0117
018277,438,closed,Which teeth are observed to have crowns?,"#11,12,13,21,22,23","#14,15,16,24,25,26","#17,18,19,27,28,29","#31,32,33,41,42,43",B,"#14,15,16,24,25,26",,13,1,q0118
018277,439,closed,Is there any apparent bone loss in the image?,Yes,No,Maybe,Not specified,C,Maybe,,13,1,q0119
018277,440,closed,Which of the following teeth is impacted?,#18,#28,#38,None,C,#38,,13,1,q0120
018277,441,closed,How many wisdom teeth are non-impacted and erupted?,1,2,3,4,C,3,,13,1,q0121
018277,514,open,What clinical recommendations are prioritized?,,,,,,,Endodontic evaluation for the periapical granuloma at #47 is recommended.,13,1,q0122
018277,515,open,What is the general condition of the teeth?,,,,,,,32 teeth are visualized with clear anatomical definition.,13,1,q0123
018277,516,open,What is the condition of the maxillary sinuses?,,,,,,,The maxillary sinuses appear normal in size and density.,13,1,q0124
018277,517,open,What structures are visible in the jawbones?,,,,,,,Bilateral mandibular canals are visible.,13,1,q0125
018277,518,open,Which areas show the mandibular canal in the panoramic image?,,,,,,,Findings: mandibular canal.,13,1,q0126
018377,457,closed,Which tooth shows signs of a periapical granuloma?,#43,#37,#44,#45,D,#45,,14,1,q0127
018377,458,closed,What structures are visible bilaterally in the jaw?,Mandibular canals,Maxillary sinuses,Both A and B,None of the above,C,Both A and B,,14,1,q0128
018377,459,closed,What is observed in the upper jawbone?,Evidence of bone gain,Evidence of bone loss,No significant findings,Fracture,A,Evidence of bone gain,,14,1,q0129
018377,460,closed,Which tooth is suspected to have caries?,#43,#44,#37,All of the above,D,All of the above,,14,1,q0130
018377,461,closed,Which of the following requires endodontic evaluation?,#37 and #38,#37 and #45,#43 and #44,#28 and #38,B,#37 and #45,,14,1,q0131
018377,537,open,"What is the general condition of the teeth, and how many wisdom teeth are detected?",,,,,,,"30 teeth are visualized with clear anatomical definition. Two wisdom teeth are detected: #28 is impacted, and #38 is impacted.",14,1,q0132
018377,538,open,What pathological findings are associated with tooth #37?,,,,,,,Tooth #37 shows signs of suspicious caries and a periapical lesion likely abscess.,14,1,q0133
018377,539,open,What is the status of the maxillary sinuses and mandibular canals?,,,,,,,Signs of bilateral maxillary sinuses and bilateral mandibular canals are present.,14,1,q0134
018377,541,open,Which mandibular canal is/are visible in the panoramic dental image?,,,,,,,Findings: mandibular canal.,14,1,q0135
016659,42,closed,Which tooth shows signs of deep caries?,#36,#46,#26,#16,B,#46,,15,1,q0136
016659,43,closed,Which tooth has a periapical abscess?,#36,#46,#26,#16,C,#26,,15,1,q0137
016659,44,closed,Which tooth has a sign of filling?,#16,#17,#18,#19,A,#16,,15,1,q0138
016659,45,closed,Which region has a missing tooth?,Lower side,Upper side,Both sides,None,C,Both sides,,15,1,q0139
016659,46,closed,How many erupted wisdom teeth are present in the radiograph?,3,4,5,6,C,5,,15,1,q0140
016659,53,open,What pathological findings are noted in tooth #46?,,,,,,,Tooth #46 shows signs of deep caries and a periapical abscess.,15,1,q0141
016659,54,open,What is the status of the wisdom teeth?,,,,,,,"All four wisdom teeth (18, #28, #38, #48) are erupted.",15,1,q0142
016659,55,open,What is observed in the bone architecture of the lower jaw?,,,,,,,Signs of bone loss are present in the lower jaw.,15,1,q0143
016659,56,open,What is recommended regarding the missing tooth region?,,,,,,,Monitor the missing tooth region on the upper side for potential prosthetic needs.,15,1,q0144
016659,57,open,Identify areas showing the bone loss in the panoramic radiograph.,,,,,,,"Findings: bone loss, side lower.",15,1,q0145
016874,161,closed,How many wisdom teeth are erupted according to the report?,3,4,0,1,D,1,,16,1,q0146
016874,162,closed,Which jaw has a missing tooth region detected?,Upper jaw,Lower jaw,Both jaws,None,A,Upper jaw,,16,1,q0147
016874,163,closed,Which tooth has undergone root canal treatment?,#21,#22,#23,#24,A,#21,,16,1,q0148
016874,190,open,What pathological findings are associated with tooth #27?,,,,,,,Tooth #27 has deep caries and signs of a periapical granuloma.,16,1,q0149
016874,191,open,"What is the general condition of the teeth, and how many wisdom teeth are erupted?",,,,,,,"30 teeth are visualized with clear anatomical definition, and 4 wisdom teeth (18, #28, #38, #48) are erupted.",16,1,q0150
016874,192,open,Which teeth show signs of fillings?,,,,,,,"Teeth #17, #21, #26, #46, #22, #38, #48 show signs of fillings.",16,1,q0151
016874,193,open,What radiographic features are visible in tooth #48 on the panoramic X-ray?,,,,,,,"Findings: wisdom tooth, filling.",16,1,q0152
016947,180,closed,Which tooth has a crown restoration and root canal treatment?,#35,#36,#37,#38,D,#38,,17,1,q0153
016947,181,closed,How many erupted wisdom teeth are suspected in the radiograph?,1,2,3,4,A,1,,17,1,q0154
016947,182,closed,In which jaw is evidence of bone loss observed?,Lower jaw,Upper jaw,Both jaws,No jaw,D,No jaw,,17,1,q0155
016947,183,closed,Which tooth requires endodontic evaluation due to a periapical granuloma?,#35,#36,#37,#38,A,#35,,17,1,q0156
016947,184,closed,Which jaw shows evidence of bone loss?,Lower jaw,Upper jaw,Both jaws,No jaw,A,Lower jaw,,17,1,q0157
016947,213,open,What preventive measure is recommended for the erupted wisdom teeth?,,,,,,,"Tooth 28 extraction, monitor the erupted wisdom teeth 18, 48 for potential complications.",17,1,q0158
016947,214,open,What is observed in the bone architecture of the upper jaw?,,,,,,,No bone loss is observed in the upper jaw.,17,1,q0159
016947,215,open,What are the pathological findings at teeth #36 and #37?,,,,,,,#36 shows signs of periapical lesions (abscess).,17,1,q0160
016947,216,open,Does the panoramic X-ray demonstrate any jawbone-related structures?,,,,,,,"Findings: mandibular canal, maxillary sinus.",17,1,q0161
016955,185,closed,What is the suspected finding at tooth 31?,Periapical granuloma,Periapical abscess,Dental caries,Crown restoration,D,Crown restoration,,18,1,q0162
016955,186,closed,Which of the following is NOT a visible structure in the jaw?,Mandibular canals,Maxillary sinuses,Nasal cavity,All,C,Nasal cavity,,18,1,q0163
016955,187,closed,What is the suspected finding at tooth 45?,Periapical abscess,Periapical granuloma,Dental caries,Impacted tooth,B,Periapical granuloma,,18,1,q0164
016955,188,closed,Which tooth shows signs of a filling?,#14,#26,#36,None,C,#36,,18,1,q0165
016955,189,closed,Which tooth is identified as impacted in the report?,#28,#29,#30,#31,A,#28,,18,1,q0166
016955,218,open,What is the status of bone architecture in the report?,,,,,,,Apparent bone loss is observed in the upper and lower jaws.,18,1,q0167
016955,219,open,What is the general condition of the teeth in the report?,,,,,,,29 teeth are visualized with clear anatomical definition.,18,1,q0168
016955,220,open,What is the suspected finding at tooth #31?,,,,,,,Imaging features suspicious for periapical lesion.,18,1,q0169
016955,222,open,Which teeth are impacted as seen on the panoramic radiograph? Specify their positions.,,,,,,,Tooth #28: impacted.,18,1,q0170
017083,226,closed,Which of the following teeth are suspicious for caries?,"#15, #16, #17","#16, #33, #34","#18, #19, #20","#21, #22, #23",A,"#15, #16, #17",,19,1,q0171
017083,228,closed,How many teeth are visualized in the panoramic radiograph?,28,29,30,31,D,31,,19,1,q0172
017083,229,closed,What is the condition of the maxillary sinuses?,Unilateral,Bilateral,Absent,Not visible,D,Not visible,,19,1,q0173
017083,264,open,What are the findings associated with tooth #16?,,,,,,,Tooth #16 shows signs of a periapical abscess and is suspicious for caries.,19,1,q0174
017083,265,open,What type of restoration is present in tooth #11?,,,,,,,Tooth #11 has a crown restoration with signs of root canal treatment.,19,1,q0175
017083,266,open,What is the condition of the maxillary sinuses in the radiograph?,,,,,,,The maxillary sinuses are visible bilaterally with clear definition.,19,1,q0176
017083,267,open,What preventive measures are recommended based on the radiographic findings?,,,,,,,Regular monitoring of suspected carious lesions and good oral hygiene practices to prevent progression of potential caries.,19,1,q0177
017083,268,open,Which periapical lesions could be detected in the panoramic image?,,,,,,,Tooth #16: periapical lesions (abscess).,19,1,q0178
017118,245,closed,How many teeth have crowns?,3,5,7,9,B,5,,20,1,q0179
017118,246,closed,How many teeth have had root canal treatment?,2,4,6,8,B,4,,20,1,q0180
017118,247,closed,How many teeth are visualized in the radiograph?,28,30,32,34,C,32,,20,1,q0181
017118,249,closed,Which teeth show signs of periapical granuloma?,#45 and #47,#46 and #48,#35 and #36,#15 and #11,B,#46 and #48,,20,1,q0182
017118,288,open,List the teeth with crowns and root canal treatments.,,,,,,,"Crowns are present on teeth #11, 21, 35, 36, 46, 47, 48. Root canal treatments are noted on teeth #11, 21, 46, 48.",20,1,q0183
017118,289,open,What is the priority concern for the periapical lesions?,,,,,,,Periapical lesions on teeth #46 and #48 require endodontic evaluation.,20,1,q0184
017118,290,open,What is the general condition of the teeth and the status of the wisdom teeth?,,,,,,,30 (29 natural teeth) teeth are visualized with clear anatomical definition. Wisdom teeth #38 and #48 are both erupted and not impacted.,20,1,q0185
017118,291,open,Which teeth show signs of periapical granuloma?,,,,,,,Teeth #46 and #48 show signs of periapical granuloma.,20,1,q0186
017118,292,open,Describe the overall status of tooth #38 based on the panoramic radiograph findings.,,,,,,,Findings: wisdom tooth.,20,1,q0187
017239,295,closed,Which tooth has both a crown and root canal treatment?,#35,#37,#36,#46,C,#36,,21,1,q0188
017239,297,closed,Which tooth is suspected to have caries?,#35,#34,#37,None,C,#37,,21,1,q0189
017239,298,closed,Which tooth shows imaging features of a periapical lesion (likely abscess)?,#34,#35,#45,#46,A,#34,,21,1,q0190
017239,299,closed,How many wisdom teeth are detected in the panoramic radiograph?,1,2,3,4,A,1,,21,1,q0191
017239,348,open,What is the status of the wisdom teeth in the panoramic radiograph?,,,,,,,"Two wisdom teeth are detected: #18 and #28, both suspected to be erupted.",21,1,q0192
017239,349,open,Which teeth show signs of caries and require clinical re-evaluation?,,,,,,,None tooth show signs of caries and require clinical re-evaluation.,21,1,q0193
017239,352,open,What findings can be observed in the panoramic radiograph regarding tooth #37?,,,,,,,Findings: crown.,21,1,q0194
017690,350,closed,Which of the following tooth site presents an implant?,#32,#31,#37,#44,D,#44,,22,1,q0195
017690,351,closed,What is observed in the bilateral mandibular canals?,Bone loss,Signs of bilateral mandibular canals,Caries,Abscess,C,Caries,,22,1,q0196
017690,352,closed,How many teeth are visualized in the radiograph?,28,29,30,31,A,28,,22,1,q0197
017690,353,closed,How many wisdom teeth are erupted in the patient?,1,2,3,4,B,2,,22,1,q0198
017690,354,closed,Which of the following is NOT a tooth with a crown?,#32,#46,#31,#25 and #46,A,#32,,22,1,q0199
017690,414,open,Which teeth have root canal treatments?,,,,,,,"#31, #11, #14, #16, #26, #36, #45.",22,1,q0200
017690,415,open,What is recommended for suspected caries?,,,,,,,Radiographic follow-up and a bitewing series for comprehensive interproximal caries detection.,22,1,q0201
017690,416,open,What is the status of the wisdom teeth?,,,,,,,Both #18 and #28 are erupted.,22,1,q0202
017690,417,open,Which teeth have implants?,,,,,,,"#37, #47.",22,1,q0203
017690,418,open,Does the panoramic X-ray show any systemic involvement of the crown across the entire dentition?,,,,,,,"Tooth #32, #31, #16, #45, #11, #14, #12, #26, #21, #13, #37.",22,1,q0204
018254,423,closed,Which tooth shows evidence of caries?,#36,#37,#46,#47,B,#37,,23,1,q0205
018254,424,closed,Which teeth show signs of fillings?,"#35, 36, 45, 46","#36, 37, 46","#37, 38, 47, 48","#38, 39, 48, 49",A,"#35, 36, 45, 46",,23,1,q0206
018254,425,closed,Is there any apparent bone loss in the image?,Yes,No,Partial,Unclear,A,Yes,,23,1,q0207
018254,497,open,How many wisdom teeth are present and which one is impacted?,,,,,,,"Four wisdom teeth are present: #18, #28, #38, and #48. Tooth #48 is impacted.",23,1,q0208
018254,499,open,What anatomical structures are visible in the jawbones?,,,,,,,"Bilateral mandibular canals are visible, and the maxillary sinuses are partially visible.",23,1,q0209
018254,500,open,What is the clinical recommendation for tooth #37?,,,,,,,Tooth #37 requires urgent endodontic evaluation due to a periapical abscess and prompt intervention for caries.,23,1,q0210
018254,501,open,Which areas show the periapical lesions in the panoramic image?,,,,,,,Tooth #37: periapical lesions (abscess).,23,1,q0211
016655,33,closed,Which tooth shows signs of a periapical abscess?,#42,#41,#43,#40,D,#40,,24,1,q0212
016655,34,closed,How many wisdom teeth were detected in the radiograph?,2,4,3,1,A,2,,24,1,q0213
016655,35,closed,What is the recommended course of action for the impacted wisdom teeth?,Monitoring,Surgical intervention,Orthodontic treatment,Restoration,B,Surgical intervention,,24,1,q0214
016655,41,open,How many teeth are visualized in the radiograph?,,,,,,,32 teeth.,24,1,q0215
016655,42,open,What is the condition of tooth #18?,,,,,,,Erupted.,24,1,q0216
016655,43,open,What is the suspected finding in the upper jaw bone architecture?,,,,,,,No obvious bone loss.,24,1,q0217
016655,44,open,Which tooth shows imaging features of a periapical abscess?,,,,,,,#41.,24,1,q0218
016694,57,closed,Which structures are visible in the radiograph?,Unilateral mandibular canals,Bilateral maxillary sinuses,Bilateral mandibular canals and maxillary sinuses,Unilateral maxillary sinuses,A,Unilateral mandibular canals,,25,2,q0219
016694,58,closed,Which tooth shows signs of caries?,#44,#45,#46,None,A,#44,,25,2,q0220
016694,59,closed,How many teeth are visualized in the radiograph?,20,21,22,18,D,18,,25,2,q0221
016694,60,closed,Which tooth has a periapical lesion?,#35,#34,#33,#36,C,#33,,25,2,q0222
016694,61,closed,Is there apparent bone loss in the jaw?,Mild bone loss,Moderate bone loss,Severe bone loss,No apparent bone loss,C,Severe bone loss,,25,2,q0223
016694,71,open,What pathological findings are present in the radiograph?,,,,,,,A periapical lesion is present at tooth #34.,25,2,q0224
