index,concreteness,disposition,reason,repaired_reference,reference_changed,in_reading_score,score_track
41,Concrete,KEEP,no defect found by inspection of the released files,,False,True,reading
42,Concrete,KEEP,no defect found by inspection of the released files,,False,True,reading
43,Broad,KEEP,no defect found by inspection of the released files,,False,True,reading
44,Concrete,KEEP,no defect found by inspection of the released files,,False,True,reading
45,Concrete,MALFORMED,reference answer is not valid JSON in the released file; left unchanged,,False,False,excluded
46,Vague,SEPARATE,"no determinate answer; score as writing quality, never as reading accuracy",,False,False,writing
47,Broad,KEEP,no defect found by inspection of the released files,,False,True,reading
48,Concrete,KEEP,no defect found by inspection of the released files,,False,True,reading
49,Broad,FLAG,"kept and scored, but sits on ground known to be unreliable (see flag_reason)",,False,True,reading
50,Broad,KEEP,no defect found by inspection of the released files,,False,True,reading
51,Concrete,MALFORMED,reference answer is not valid JSON in the released file; left unchanged,,False,False,excluded
52,Vague,SEPARATE,"no determinate answer; score as writing quality, never as reading accuracy",,False,False,writing
53,Concrete,KEEP,no defect found by inspection of the released files,,False,True,reading
54,Broad,KEEP,no defect found by inspection of the released files,,False,True,reading
55,Broad,KEEP,no defect found by inspection of the released files,,False,True,reading
56,Broad,KEEP,no defect found by inspection of the released files,,False,True,reading
57,Concrete,REPAIR,reference answer was a coordinate list; rewritten as the sentence it encodes,"Findings: bone loss, side lower.",True,True,reading
58,Vague,SEPARATE,"no determinate answer; score as writing quality, never as reading accuracy",,False,False,writing
59,Concrete,KEEP,no defect found by inspection of the released files,,False,True,reading
60,Broad,KEEP,no defect found by inspection of the released files,,False,True,reading
61,Concrete,KEEP,no defect found by inspection of the released files,,False,True,reading
62,Broad,KEEP,no defect found by inspection of the released files,,False,True,reading
63,Concrete,SPATIAL,"question asks for a location; score by box overlap, not by a text judge",,False,False,overlap
64,Vague,SEPARATE,"no determinate answer; score as writing quality, never as reading accuracy",,False,False,writing
65,Broad,FLAG,"kept and scored, but sits on ground known to be unreliable (see flag_reason)",,False,True,reading
66,Concrete,KEEP,no defect found by inspection of the released files,,False,True,reading
67,Concrete,KEEP,no defect found by inspection of the released files,,False,True,reading
68,Concrete,KEEP,no defect found by inspection of the released files,,False,True,reading
69,Concrete,REPAIR,reference answer was a coordinate list; rewritten as the sentence it encodes,"Tooth #26, #25, #16, #12, #47, #14, #24, #32, #43, #46, #17, #48, #45, #21, #37, #13, #31, #15, #18, #23, #22, #11, #38, #44, #36, #28, #42, #33, #27, #41, #35.",True,True,reading
70,Vague,SEPARATE,"no determinate answer; score as writing quality, never as reading accuracy",,False,False,writing
71,Broad,KEEP,no defect found by inspection of the released files,,False,True,reading
72,Concrete,KEEP,no defect found by inspection of the released files,,False,True,reading
73,Broad,KEEP,no defect found by inspection of the released files,,False,True,reading
74,Broad,FLAG,"kept and scored, but sits on ground known to be unreliable (see flag_reason)",,False,True,reading
75,Concrete,REPAIR,reference answer was a coordinate list; rewritten as the sentence it encodes,"Tooth #44: crown, root canal treatment. Tooth #46: crown. Tooth #36: crown, root canal treatment. Tooth #34: crown. Tooth #35: crown, root canal treatment. Tooth #26: crown, root canal treatment. Tooth #41: crown. Tooth #43: crown, root canal treatment. Tooth #25: crown, root canal treatment. Tooth #15: root canal treatment. Tooth #17: crown, root canal treatment. Tooth #33: crown, root canal treatment. Tooth #24: crown. Tooth #16: crown. Tooth #37: crown, root canal treatment. Tooth #13: implant. Tooth #31: crown. Tooth #42: crown. Tooth #27: crown, root canal treatment.",True,True,reading
76,Vague,SEPARATE,"no determinate answer; score as writing quality, never as reading accuracy",,False,False,writing
77,Broad,KEEP,no defect found by inspection of the released files,,False,True,reading
78,Broad,KEEP,no defect found by inspection of the released files,,False,True,reading
79,Concrete,KEEP,no defect found by inspection of the released files,,False,True,reading
80,Concrete,KEEP,no defect found by inspection of the released files,,False,True,reading
81,Concrete,REPAIR,reference answer was a coordinate list; rewritten as the sentence it encodes,Findings: side upper.,True,True,reading
82,Vague,SEPARATE,"no determinate answer; score as writing quality, never as reading accuracy",,False,False,writing
83,Concrete,KEEP,no defect found by inspection of the released files,,False,True,reading
84,Concrete,KEEP,no defect found by inspection of the released files,,False,True,reading
85,Concrete,KEEP,no defect found by inspection of the released files,,False,True,reading
86,Broad,KEEP,no defect found by inspection of the released files,,False,True,reading
87,Concrete,REPAIR,reference answer was a coordinate list; rewritten as the sentence it encodes,Findings: mandibular canal.,True,True,reading
88,Vague,SEPARATE,"no determinate answer; score as writing quality, never as reading accuracy",,False,False,writing
89,Broad,KEEP,no defect found by inspection of the released files,,False,True,reading
90,Concrete,KEEP,no defect found by inspection of the released files,,False,True,reading
91,Broad,KEEP,no defect found by inspection of the released files,,False,True,reading
92,Concrete,KEEP,no defect found by inspection of the released files,,False,True,reading
93,Concrete,REPAIR,reference answer was a coordinate list; rewritten as the sentence it encodes,Findings: maxillary sinus.,True,True,reading
94,Vague,SEPARATE,"no determinate answer; score as writing quality, never as reading accuracy",,False,False,writing
95,Concrete,KEEP,no defect found by inspection of the released files,,False,True,reading
96,Broad,KEEP,no defect found by inspection of the released files,,False,True,reading
97,Concrete,KEEP,no defect found by inspection of the released files,,False,True,reading
98,Concrete,REPAIR,reference answer was a coordinate list; rewritten as the sentence it encodes,Tooth #17: root canal treatment.,True,True,reading
99,Vague,SEPARATE,"no determinate answer; score as writing quality, never as reading accuracy",,False,False,writing
100,Concrete,KEEP,no defect found by inspection of the released files,,False,True,reading
101,Concrete,KEEP,no defect found by inspection of the released files,,False,True,reading
102,Broad,FLAG,"kept and scored, but sits on ground known to be unreliable (see flag_reason)",,False,True,reading
103,Concrete,MALFORMED,reference answer is not valid JSON in the released file; left unchanged,,False,False,excluded
104,Vague,SEPARATE,"no determinate answer; score as writing quality, never as reading accuracy",,False,False,writing
105,Broad,KEEP,no defect found by inspection of the released files,,False,True,reading
106,Concrete,KEEP,no defect found by inspection of the released files,,False,True,reading
107,Broad,KEEP,no defect found by inspection of the released files,,False,True,reading
108,Vague,SEPARATE,"no determinate answer; score as writing quality, never as reading accuracy",,False,False,writing
109,Concrete,KEEP,no defect found by inspection of the released files,,False,True,reading
110,Broad,KEEP,no defect found by inspection of the released files,,False,True,reading
111,Broad,KEEP,no defect found by inspection of the released files,,False,True,reading
112,Concrete,KEEP,no defect found by inspection of the released files,,False,True,reading
113,Vague,SEPARATE,"no determinate answer; score as writing quality, never as reading accuracy",,False,False,writing
114,Concrete,KEEP,no defect found by inspection of the released files,,False,True,reading
115,Concrete,KEEP,no defect found by inspection of the released files,,False,True,reading
116,Broad,FLAG,"kept and scored, but sits on ground known to be unreliable (see flag_reason)",,False,True,reading
117,Concrete,KEEP,no defect found by inspection of the released files,,False,True,reading
118,Concrete,MALFORMED,reference answer is not valid JSON in the released file; left unchanged,,False,False,excluded
119,Vague,SEPARATE,"no determinate answer; score as writing quality, never as reading accuracy",,False,False,writing
120,Concrete,KEEP,no defect found by inspection of the released files,,False,True,reading
121,Concrete,KEEP,no defect found by inspection of the released files,,False,True,reading
122,Broad,KEEP,no defect found by inspection of the released files,,False,True,reading
123,Broad,FLAG,"kept and scored, but sits on ground known to be unreliable (see flag_reason)",,False,True,reading
124,Vague,REPAIR,reference answer was a coordinate list; rewritten as the sentence it encodes,Tooth #45: deep caries. Tooth #18: impacted. Tooth #38: impacted. Tooth #28: impacted.,True,True,reading
125,Vague,SEPARATE,"no determinate answer; score as writing quality, never as reading accuracy",,False,False,writing
126,Broad,KEEP,no defect found by inspection of the released files,,False,True,reading
127,Concrete,KEEP,no defect found by inspection of the released files,,False,True,reading
128,Concrete,KEEP,no defect found by inspection of the released files,,False,True,reading
129,Concrete,KEEP,no defect found by inspection of the released files,,False,True,reading
130,Concrete,REPAIR,reference answer was a coordinate list; rewritten as the sentence it encodes,"Tooth #34, #41, #31, #36, #24, #35, #45, #44, #32, #43, #23, #26, #22, #11, #42, #14, #12, #33, #17, #21, #46, #16, #25, #15, #13, #47, #37, #27.",True,True,reading
131,Vague,SEPARATE,"no determinate answer; score as writing quality, never as reading accuracy",,False,False,writing
132,Concrete,KEEP,no defect found by inspection of the released files,,False,True,reading
133,Broad,KEEP,no defect found by inspection of the released files,,False,True,reading
134,Broad,KEEP,no defect found by inspection of the released files,,False,True,reading
135,Broad,KEEP,no defect found by inspection of the released files,,False,True,reading
136,Concrete,REPAIR,reference answer was a coordinate list; rewritten as the sentence it encodes,"Tooth #24, #36, #26, #25, #16, #15, #46, #47.",True,True,reading
137,Vague,SEPARATE,"no determinate answer; score as writing quality, never as reading accuracy",,False,False,writing
138,Broad,KEEP,no defect found by inspection of the released files,,False,True,reading
139,Broad,KEEP,no defect found by inspection of the released files,,False,True,reading
140,Concrete,KEEP,no defect found by inspection of the released files,,False,True,reading
141,Broad,KEEP,no defect found by inspection of the released files,,False,True,reading
142,Concrete,REPAIR,reference answer was a coordinate list; rewritten as the sentence it encodes,"Findings: wisdom tooth, periapical lesions (abscess).",True,True,reading
143,Vague,SEPARATE,"no determinate answer; score as writing quality, never as reading accuracy",,False,False,writing
144,Concrete,KEEP,no defect found by inspection of the released files,,False,True,reading
145,Concrete,KEEP,no defect found by inspection of the released files,,False,True,reading
146,Concrete,KEEP,no defect found by inspection of the released files,,False,True,reading
147,Broad,KEEP,no defect found by inspection of the released files,,False,True,reading
148,Concrete,SPATIAL,"question asks for a location; score by box overlap, not by a text judge",,False,False,overlap
149,Vague,SEPARATE,"no determinate answer; score as writing quality, never as reading accuracy",,False,False,writing
150,Concrete,KEEP,no defect found by inspection of the released files,,False,True,reading
151,Concrete,KEEP,no defect found by inspection of the released files,,False,True,reading
152,Concrete,KEEP,no defect found by inspection of the released files,,False,True,reading
153,Broad,KEEP,no defect found by inspection of the released files,,False,True,reading
154,Concrete,REPAIR,reference answer was a coordinate list; rewritten as the sentence it encodes,Findings: crown.,True,True,reading
155,Vague,SEPARATE,"no determinate answer; score as writing quality, never as reading accuracy",,False,False,writing
156,Concrete,KEEP,no defect found by inspection of the released files,,False,True,reading
157,Vague,SEPARATE,"no determinate answer; score as writing quality, never as reading accuracy",,False,False,writing
158,Concrete,KEEP,no defect found by inspection of the released files,,False,True,reading
159,Broad,KEEP,no defect found by inspection of the released files,,False,True,reading
160,Concrete,REPAIR,reference answer was a coordinate list; rewritten as the sentence it encodes,Findings: mandibular canal.,True,True,reading
161,Vague,SEPARATE,"no determinate answer; score as writing quality, never as reading accuracy",,False,False,writing
162,Broad,KEEP,no defect found by inspection of the released files,,False,True,reading
163,Concrete,KEEP,no defect found by inspection of the released files,,False,True,reading
164,Concrete,KEEP,no defect found by inspection of the released files,,False,True,reading
165,Broad,KEEP,no defect found by inspection of the released files,,False,True,reading
166,Concrete,REPAIR,reference answer was a coordinate list; rewritten as the sentence it encodes,Findings: maxillary sinus.,True,True,reading
167,Vague,SEPARATE,"no determinate answer; score as writing quality, never as reading accuracy",,False,False,writing
168,Broad,KEEP,no defect found by inspection of the released files,,False,True,reading
169,Concrete,KEEP,no defect found by inspection of the released files,,False,True,reading
170,Concrete,KEEP,no defect found by inspection of the released files,,False,True,reading
171,Broad,KEEP,no defect found by inspection of the released files,,False,True,reading
172,Concrete,REPAIR,reference answer was a coordinate list; rewritten as the sentence it encodes,"Findings: periapical lesions (cyst), filling, root canal treatment.",True,True,reading
173,Vague,SEPARATE,"no determinate answer; score as writing quality, never as reading accuracy",,False,False,writing
174,Concrete,KEEP,no defect found by inspection of the released files,,False,True,reading
175,Concrete,KEEP,no defect found by inspection of the released files,,False,True,reading
176,Vague,SEPARATE,"no determinate answer; score as writing quality, never as reading accuracy",,False,False,writing
177,Concrete,REPAIR,reference answer was a coordinate list; rewritten as the sentence it encodes,"Tooth #18, #38, #48, #28.",True,True,reading
178,Vague,SEPARATE,"no determinate answer; score as writing quality, never as reading accuracy",,False,False,writing
179,Broad,KEEP,no defect found by inspection of the released files,,False,True,reading
180,Broad,FLAG,"kept and scored, but sits on ground known to be unreliable (see flag_reason)",,False,True,reading
181,Broad,KEEP,no defect found by inspection of the released files,,False,True,reading
182,Concrete,KEEP,no defect found by inspection of the released files,,False,True,reading
183,Concrete,REPAIR,reference answer was a coordinate list; rewritten as the sentence it encodes,"Tooth #44, #42, #35, #14, #18, #16, #45, #15, #12, #34, #41, #33, #11, #13, #43, #48, #31, #32, #17, #46, #22, #47, #23, #24, #38, #21, #26, #28, #25.",True,True,reading
184,Vague,SEPARATE,"no determinate answer; score as writing quality, never as reading accuracy",,False,False,writing
185,Concrete,KEEP,no defect found by inspection of the released files,,False,True,reading
186,Broad,KEEP,no defect found by inspection of the released files,,False,True,reading
187,Broad,KEEP,no defect found by inspection of the released files,,False,True,reading
188,Concrete,REPAIR,reference answer was a coordinate list; rewritten as the sentence it encodes,"Tooth #48: impacted. Tooth #28, #18.",True,True,reading
189,Vague,SEPARATE,"no determinate answer; score as writing quality, never as reading accuracy",,False,False,writing
190,Concrete,KEEP,no defect found by inspection of the released files,,False,True,reading
191,Concrete,KEEP,no defect found by inspection of the released files,,False,True,reading
192,Concrete,KEEP,no defect found by inspection of the released files,,False,True,reading
193,Concrete,REPAIR,reference answer was a coordinate list; rewritten as the sentence it encodes,"Findings: wisdom tooth, filling.",True,True,reading
194,Vague,SEPARATE,"no determinate answer; score as writing quality, never as reading accuracy",,False,False,writing
195,Broad,KEEP,no defect found by inspection of the released files,,False,True,reading
196,Concrete,KEEP,no defect found by inspection of the released files,,False,True,reading
197,Concrete,KEEP,no defect found by inspection of the released files,,False,True,reading
198,Broad,KEEP,no defect found by inspection of the released files,,False,True,reading
199,Concrete,REPAIR,reference answer was a coordinate list; rewritten as the sentence it encodes,Findings: crown.,True,True,reading
200,Vague,SEPARATE,"no determinate answer; score as writing quality, never as reading accuracy",,False,False,writing
201,Concrete,KEEP,no defect found by inspection of the released files,,False,True,reading
202,Concrete,KEEP,no defect found by inspection of the released files,,False,True,reading
203,Broad,FLAG,"kept and scored, but sits on ground known to be unreliable (see flag_reason)",,False,True,reading
204,Concrete,KEEP,no defect found by inspection of the released files,,False,True,reading
205,Concrete,SPATIAL,"question asks for a location; score by box overlap, not by a text judge",,False,False,overlap
206,Vague,SEPARATE,"no determinate answer; score as writing quality, never as reading accuracy",,False,False,writing
207,Concrete,KEEP,no defect found by inspection of the released files,,False,True,reading
208,Concrete,KEEP,no defect found by inspection of the released files,,False,True,reading
209,Broad,KEEP,no defect found by inspection of the released files,,False,True,reading
210,Broad,KEEP,no defect found by inspection of the released files,,False,True,reading
211,Concrete,MALFORMED,reference answer is not valid JSON in the released file; left unchanged,,False,False,excluded
212,Vague,SEPARATE,"no determinate answer; score as writing quality, never as reading accuracy",,False,False,writing
213,Broad,KEEP,no defect found by inspection of the released files,,False,True,reading
214,Broad,KEEP,no defect found by inspection of the released files,,False,True,reading
215,Concrete,KEEP,no defect found by inspection of the released files,,False,True,reading
216,Broad,REPAIR,reference answer was a coordinate list; rewritten as the sentence it encodes,"Findings: mandibular canal, maxillary sinus.",True,True,reading
217,Vague,SEPARATE,"no determinate answer; score as writing quality, never as reading accuracy",,False,False,writing
218,Broad,KEEP,no defect found by inspection of the released files,,False,True,reading
219,Broad,KEEP,no defect found by inspection of the released files,,False,True,reading
220,Concrete,KEEP,no defect found by inspection of the released files,,False,True,reading
221,Broad,KEEP,no defect found by inspection of the released files,,False,True,reading
222,Concrete,REPAIR,reference answer was a coordinate list; rewritten as the sentence it encodes,Tooth #28: impacted.,True,True,reading
223,Vague,SEPARATE,"no determinate answer; score as writing quality, never as reading accuracy",,False,False,writing
224,Broad,KEEP,no defect found by inspection of the released files,,False,True,reading
225,Concrete,KEEP,no defect found by inspection of the released files,,False,True,reading
226,Concrete,KEEP,no defect found by inspection of the released files,,False,True,reading
227,Vague,SEPARATE,"no determinate answer; score as writing quality, never as reading accuracy",,False,False,writing
228,Concrete,KEEP,no defect found by inspection of the released files,,False,True,reading
229,Concrete,KEEP,no defect found by inspection of the released files,,False,True,reading
230,Broad,KEEP,no defect found by inspection of the released files,,False,True,reading
231,Concrete,KEEP,no defect found by inspection of the released files,,False,True,reading
232,Concrete,REPAIR,reference answer was a coordinate list; rewritten as the sentence it encodes,Findings: mandibular canal.,True,True,reading
233,Vague,SEPARATE,"no determinate answer; score as writing quality, never as reading accuracy",,False,False,writing
234,Concrete,KEEP,no defect found by inspection of the released files,,False,True,reading
235,Broad,KEEP,no defect found by inspection of the released files,,False,True,reading
236,Concrete,KEEP,no defect found by inspection of the released files,,False,True,reading
237,Broad,KEEP,no defect found by inspection of the released files,,False,True,reading
238,Broad,REPAIR,reference answer was a coordinate list; rewritten as the sentence it encodes,Tooth #37: caries.,True,True,reading
239,Vague,SEPARATE,"no determinate answer; score as writing quality, never as reading accuracy",,False,False,writing
240,Broad,KEEP,no defect found by inspection of the released files,,False,True,reading
241,Concrete,KEEP,no defect found by inspection of the released files,,False,True,reading
242,Concrete,KEEP,no defect found by inspection of the released files,,False,True,reading
243,Broad,FLAG,"kept and scored, but sits on ground known to be unreliable (see flag_reason)",,False,True,reading
244,Concrete,REPAIR,reference answer was a coordinate list; rewritten as the sentence it encodes,"Findings: wisdom tooth, impacted.",True,True,reading
245,Vague,SEPARATE,"no determinate answer; score as writing quality, never as reading accuracy",,False,False,writing
246,Broad,KEEP,no defect found by inspection of the released files,,False,True,reading
247,Broad,KEEP,no defect found by inspection of the released files,,False,True,reading
248,Broad,KEEP,no defect found by inspection of the released files,,False,True,reading
249,Broad,KEEP,no defect found by inspection of the released files,,False,True,reading
250,Concrete,REPAIR,reference answer was a coordinate list; rewritten as the sentence it encodes,"Tooth #36, #46.",True,True,reading
251,Vague,SEPARATE,"no determinate answer; score as writing quality, never as reading accuracy",,False,False,writing
252,Broad,KEEP,no defect found by inspection of the released files,,False,True,reading
253,Broad,KEEP,no defect found by inspection of the released files,,False,True,reading
254,Broad,KEEP,no defect found by inspection of the released files,,False,True,reading
255,Concrete,KEEP,no defect found by inspection of the released files,,False,True,reading
256,Concrete,REPAIR,reference answer was a coordinate list; rewritten as the sentence it encodes,Findings: wisdom tooth.,True,True,reading
257,Vague,SEPARATE,"no determinate answer; score as writing quality, never as reading accuracy",,False,False,writing
258,Concrete,KEEP,no defect found by inspection of the released files,,False,True,reading
259,Concrete,KEEP,no defect found by inspection of the released files,,False,True,reading
260,Concrete,KEEP,no defect found by inspection of the released files,,False,True,reading
261,Concrete,KEEP,no defect found by inspection of the released files,,False,True,reading
262,Concrete,SPATIAL,"question asks for a location; score by box overlap, not by a text judge",,False,False,overlap
263,Vague,SEPARATE,"no determinate answer; score as writing quality, never as reading accuracy",,False,False,writing
264,Concrete,KEEP,no defect found by inspection of the released files,,False,True,reading
265,Concrete,KEEP,no defect found by inspection of the released files,,False,True,reading
266,Broad,KEEP,no defect found by inspection of the released files,,False,True,reading
267,Broad,KEEP,no defect found by inspection of the released files,,False,True,reading
268,Concrete,REPAIR,reference answer was a coordinate list; rewritten as the sentence it encodes,Tooth #16: periapical lesions (abscess).,True,True,reading
269,Vague,SEPARATE,"no determinate answer; score as writing quality, never as reading accuracy",,False,False,writing
270,Concrete,KEEP,no defect found by inspection of the released files,,False,True,reading
271,Concrete,KEEP,no defect found by inspection of the released files,,False,True,reading
272,Concrete,KEEP,no defect found by inspection of the released files,,False,True,reading
273,Broad,KEEP,no defect found by inspection of the released files,,False,True,reading
274,Concrete,REPAIR,reference answer was a coordinate list; rewritten as the sentence it encodes,"Tooth #38, #48, #18, #28.",True,True,reading
275,Vague,SEPARATE,"no determinate answer; score as writing quality, never as reading accuracy",,False,False,writing
276,Broad,KEEP,no defect found by inspection of the released files,,False,True,reading
277,Concrete,KEEP,no defect found by inspection of the released files,,False,True,reading
278,Broad,FLAG,"kept and scored, but sits on ground known to be unreliable (see flag_reason)",,False,True,reading
279,Concrete,KEEP,no defect found by inspection of the released files,,False,True,reading
280,Concrete,REPAIR,reference answer was a coordinate list; rewritten as the sentence it encodes,Findings: maxillary sinus.,True,True,reading
281,Vague,SEPARATE,"no determinate answer; score as writing quality, never as reading accuracy",,False,False,writing
282,Concrete,KEEP,no defect found by inspection of the released files,,False,True,reading
283,Concrete,KEEP,no defect found by inspection of the released files,,False,True,reading
284,Broad,KEEP,no defect found by inspection of the released files,,False,True,reading
285,Concrete,KEEP,no defect found by inspection of the released files,,False,True,reading
286,Concrete,REPAIR,reference answer was a coordinate list; rewritten as the sentence it encodes,Findings: crown.,True,True,reading
287,Vague,SEPARATE,"no determinate answer; score as writing quality, never as reading accuracy",,False,False,writing
288,Concrete,KEEP,no defect found by inspection of the released files,,False,True,reading
289,Broad,KEEP,no defect found by inspection of the released files,,False,True,reading
290,Broad,KEEP,no defect found by inspection of the released files,,False,True,reading
291,Concrete,KEEP,no defect found by inspection of the released files,,False,True,reading
292,Concrete,REPAIR,reference answer was a coordinate list; rewritten as the sentence it encodes,Findings: wisdom tooth.,True,True,reading
293,Vague,SEPARATE,"no determinate answer; score as writing quality, never as reading accuracy",,False,False,writing
294,Concrete,KEEP,no defect found by inspection of the released files,,False,True,reading
295,Concrete,KEEP,no defect found by inspection of the released files,,False,True,reading
296,Broad,FLAG,"kept and scored, but sits on ground known to be unreliable (see flag_reason)",,False,True,reading
297,Broad,KEEP,no defect found by inspection of the released files,,False,True,reading
298,Concrete,REPAIR,reference answer was a coordinate list; rewritten as the sentence it encodes,Findings: crown.,True,True,reading
299,Vague,SEPARATE,"no determinate answer; score as writing quality, never as reading accuracy",,False,False,writing
300,Broad,KEEP,no defect found by inspection of the released files,,False,True,reading
301,Broad,KEEP,no defect found by inspection of the released files,,False,True,reading
302,Concrete,KEEP,no defect found by inspection of the released files,,False,True,reading
303,Broad,KEEP,no defect found by inspection of the released files,,False,True,reading
304,Concrete,MALFORMED,reference answer is not valid JSON in the released file; left unchanged,,False,False,excluded
305,Vague,SEPARATE,"no determinate answer; score as writing quality, never as reading accuracy",,False,False,writing
306,Concrete,KEEP,no defect found by inspection of the released files,,False,True,reading
307,Broad,KEEP,no defect found by inspection of the released files,,False,True,reading
308,Broad,KEEP,no defect found by inspection of the released files,,False,True,reading
309,Broad,KEEP,no defect found by inspection of the released files,,False,True,reading
310,Concrete,REPAIR,reference answer was a coordinate list; rewritten as the sentence it encodes,"Tooth #35, #37, #25.",True,True,reading
311,Vague,SEPARATE,"no determinate answer; score as writing quality, never as reading accuracy",,False,False,writing
312,Broad,KEEP,no defect found by inspection of the released files,,False,True,reading
313,Broad,KEEP,no defect found by inspection of the released files,,False,True,reading
314,Concrete,KEEP,no defect found by inspection of the released files,,False,True,reading
315,Concrete,KEEP,no defect found by inspection of the released files,,False,True,reading
316,Concrete,REPAIR,reference answer was a coordinate list; rewritten as the sentence it encodes,Findings: crown.,True,True,reading
317,Vague,SEPARATE,"no determinate answer; score as writing quality, never as reading accuracy",,False,False,writing
318,Vague,SEPARATE,"no determinate answer; score as writing quality, never as reading accuracy",,False,False,writing
319,Concrete,KEEP,no defect found by inspection of the released files,,False,True,reading
320,Concrete,KEEP,no defect found by inspection of the released files,,False,True,reading
321,Broad,FLAG,"kept and scored, but sits on ground known to be unreliable (see flag_reason)",,False,True,reading
322,Concrete,REPAIR,reference answer was a coordinate list; rewritten as the sentence it encodes,Findings: crown.,True,True,reading
323,Vague,SEPARATE,"no determinate answer; score as writing quality, never as reading accuracy",,False,False,writing
324,Concrete,KEEP,no defect found by inspection of the released files,,False,True,reading
325,Concrete,KEEP,no defect found by inspection of the released files,,False,True,reading
326,Broad,KEEP,no defect found by inspection of the released files,,False,True,reading
327,Concrete,KEEP,no defect found by inspection of the released files,,False,True,reading
328,Concrete,REPAIR,reference answer was a coordinate list; rewritten as the sentence it encodes,"Findings: crown, implant.",True,True,reading
329,Vague,SEPARATE,"no determinate answer; score as writing quality, never as reading accuracy",,False,False,writing
330,Concrete,KEEP,no defect found by inspection of the released files,,False,True,reading
331,Concrete,KEEP,no defect found by inspection of the released files,,False,True,reading
332,Broad,KEEP,no defect found by inspection of the released files,,False,True,reading
333,Concrete,KEEP,no defect found by inspection of the released files,,False,True,reading
334,Concrete,MALFORMED,reference answer is not valid JSON in the released file; left unchanged,,False,False,excluded
335,Vague,SEPARATE,"no determinate answer; score as writing quality, never as reading accuracy",,False,False,writing
336,Concrete,KEEP,no defect found by inspection of the released files,,False,True,reading
337,Concrete,KEEP,no defect found by inspection of the released files,,False,True,reading
